,price
7573,13499991.600000001
2231,3398988.3000000003
2228,4499997.600000001
2153,2799997.5999999996
5452,5999975.7
5750,6349989.9
6466,4400000.0
1366,6399961.4
1469,6199985.0
1851,7998964.050000001
1963,2739989.0
6597,5499976.93
4810,8399970.3
4634,10799983.95
3898,4589946.0
485,3598995.1999999997
2239,4249984.8
6273,2589993.5
6062,6699972.5
4471,8198960.0
6707,2700000.0
30,2869973.6
1879,7899960.0
5814,6149977.0
2960,7799980.1
6437,4689989.640000001
3410,6126995.2
5176,6630750.0
5483,5989971.2
1036,5099968.5
636,2869995.1999999997
5095,8499976.9
7658,5982688.5
1083,5299985.6
2615,5299992.0
861,4989975.899999999
4046,8150000.0
903,4979970.0
3688,6899965.800000001
109,949988.0
7702,6499974.600000001
4487,7998997.5
6828,6489976.4
3003,8929967.7
6730,4489997.8
3842,6449956.7
5886,6649973.0
1831,2149991.5
5309,4649983.2
3091,8999991.0
782,3599998.2
7815,4349980.2
7546,9649965.0
4745,9849963.0
7279,6339995.2
5554,4799995.2
3707,6199968.0
1825,2999994.0
2617,6869980.5
5525,5149976.6
1094,5699974.800000001
5934,6299985.600000001
4034,8399989.71
3393,5949996.5
4880,10739950.0
3337,8949987.3
7308,10199941.5
1654,6999983.2
6562,5285000.1
7558,6849980.2
2323,4050000.0
2413,8799980.399999999
6142,5899990.2
2654,5799982.5
6349,2989992.0000000005
2678,4849999.600000001
7026,7889998.8
5219,6499990.62
7270,6318000.0
5015,11099996.0
3443,7699985.199999999
178,2583000.0
6593,5749982.0
4680,10399980.0
4404,9399970.5
1204,5789993.0
2202,2700000.0
7138,6049989.0
6504,4889983.12
6183,4399990.7
6717,6549997.5
7964,5299987.0
7714,6231226.24
1770,7199992.800000001
829,4348985.0
941,4200000.0
5513,5349978.0
2486,6499983.999999999
627,3799980.0
3624,6419996.0
4722,10599976.0
925,4499964.0
295,3499980.0
1052,4999986.7
2707,5200000.0
5900,6749995.199999999
4370,10299969.1
3927,4299996.0
2789,7999996.899999999
944,4999980.899999999
7808,4199979.3
6649,4599984.399999999
12,3299981.0
1117,6100000.0
5841,5799982.5
7835,2799990.0
3541,9299934.799999999
3131,5349982.0
5278,5399971.2
1319,5399986.3
779,3249979.8000000003
7825,3200000.0
7329,6489991.2
4570,9699993.0
6340,3449997.0
433,5298972.800000001
653,2349987.3000000003
2477,6998992.0
4224,8049986.399999999
6719,5799963.0
7248,3749990.4
6841,5349974.8
3065,8399998.799999999
7806,4199982.3
3656,6699974.399999999
2886,8699990.0
6465,4509989.91
3125,4699995.0
5844,6599978.0
7233,9199994.5
3721,6949995.0
5573,4989983.0
7973,5699986.5
570,1480000.0
1448,6699995.899999999
4189,8199940.0
6472,5100000.0
4299,8548979.700000001
6550,5549985.2
1745,7699957.0
2741,7199990.0
1590,6989975.1
4710,11449976.0
